sourceId,sku,name,qtyBox,qtyPcs,srcLoc,destLoc,trip,expDate,ean
T12A0133-0,XYZ0001,報表-業務部,0,20,,,6/23-3,2028/10/17                    ,
T12A0534-0,XYZ0002,報表-會計部,0,17,,,6/23-3,2023/10/23                    ,
T12A0575-0,XYZ0002,報表-會計部,0,30,,,6/23-3,2025/02/20                    ,
T12B0483-0,XYZ0001,報表-業務部,0,26,,,6/23-3,2029/05/06                    ,
T12B0502-0,XYZ0001,報表-業務部,0,33,,,6/23-3,2028/10/17                    ,
T12B0503-0,XYZ0001,報表-業務部,0,35,,,6/23-3,2028/10/17                    ,
T12B0505-0,XYZ0001,報表-業務部,0,19,,,6/23-3,2027/04/12                    ,
T12B0522-0,XYZ0001,報表-業務部,0,34,,,6/23-3,2028/10/17                    ,
T12B0525-0,XYZ0001,報表-業務部,0,34,,,6/23-3,2027/06/30                    ,
T12B0545-0,XYZ0001,報表-業務部,0,26,,,6/23-3,2032/03/02                    ,
A18A0953-0,SW9213,贈品-LOTTE保冷袋,0,94,,,6/23-4,2033/06/14                    ,
A18B1046-0,SW9242-1,贈品-樂天小熊簇絨墊(藍),0,70,,,6/23-4,2034/10/25                    ,
A18B1242-0,SW9242-2,贈品-樂天小熊簇絨墊(黃),0,70,,,6/23-4,2034/10/25                    ,
A19B0621-0,SW9275,贈品-樂天小熊造型陶瓷碗,0,587,,,6/23-4,2036/01/02                    ,
A19B1343-0,BK0049,LOTTE 蛋黃派－香甜草莓風味(6顆裝),0,720,,,6/23-4,2026/12/01                    ,
A19B1363-0,BK0049,LOTTE 蛋黃派－香甜草莓風味(6顆裝),0,720,,,6/23-4,2026/12/01                    ,
A19B1386-0,BK9258,LOTTE巧克力派－香蕉風味(12顆裝),0,480,,,6/23-4,2027/03/26                    ,
A19B1624-0,SW9282,贈品-LOTTE PEPERO FRIENDS萬用提袋2026,0,2000,,,6/23-4,2036/03/18                    ,
B03A0212-0,SW9273,贈品-樂天小熊法蘭絨毯,0,128,,,6/23-4,2036/01/02                    ,
B03A0215-0,SW9224,贈品-樂天小熊購物車,0,18,,,6/23-4,2033/11/10                    ,
B03A0635-0,SW9237-2,贈品-樂天小熊托特袋(藍色),0,75,,,6/23-4,2034/05/25                    ,
B03A0755-0,SW9237-1,贈品-樂天小熊托特袋(黑色),0,75,,,6/23-4,2034/05/25                    ,
B03A0835-0,BT0062,樂天小熊餅－牛奶風味37g,0,2160,,,6/23-4,2027/06/05                    ,
B03A0851-0,SW9235-1,贈品-樂天小熊造型不鏽鋼湯匙(滿額贈),0,358,,,6/23-4,2034/02/21                    ,
B03A0853-0,BT0062,樂天小熊餅－牛奶風味37g,0,2160,,,6/23-4,2027/06/05                    ,
B03A0872-0,BT0062,樂天小熊餅－牛奶風味37g,0,2160,,,6/23-4,2027/06/05                    ,
B03A0873-0,BT0062,樂天小熊餅－牛奶風味37g,0,2160,,,6/23-4,2027/06/05                    ,
B03B0581-0,SW9266,贈品-LOTTE PEPERO FRIENDS造型梅森杯,0,18,,,6/23-4,2035/10/14                    ,
B03B0725-0,BT0062,樂天小熊餅－牛奶風味37g,0,2160,,,6/23-4,2027/06/04                    ,
B03B0765-0,BT0062,樂天小熊餅－牛奶風味37g,0,2160,,,6/23-4,2027/06/05                    ,
C07A0013-0,SW9184,贈品-樂天小熊12入蠟筆組,0,1424,,,6/23-4,2032/05/05                    ,
C07A0035-0,SW9280,贈品-LOTTE PEPERO FRIENDS證件套2026,0,900,,,6/23-4,2036/03/18                    ,
C07A0175-0,SW9184,贈品-樂天小熊12入蠟筆組,0,616,,,6/23-4,2032/05/05                    ,
C07A0194-0,SW9212,贈品-樂天小熊餅造型木盤,0,504,,,6/23-4,2034/08/16                    ,
C07A0216-0,SW9212,贈品-樂天小熊餅造型木盤,0,1800,,,6/23-4,2034/08/16                    ,
C07A0254-0,SW9283,贈品-LOTTE PEPERO FRIENDS造型襪2026,0,1184,,,6/23-4,2028/08/11                    ,
T06A0033-0,SW9283,贈品-LOTTE PEPERO FRIENDS造型襪2026,0,5400,,,6/23-4,2028/08/11                    ,
T06A0553-0,SW9272-1,贈品-樂天小熊熊頭購物袋-紅款(紅點貼),0,393,,,6/23-4,2036/02/04                    ,
T06B0102-0,SW9239,贈品-樂天小熊摺疊籃,0,496,,,6/23-4,2034/10/18                    ,
T06B0563-0,SW9239,贈品-樂天小熊摺疊籃,0,160,,,6/23-4,2034/06/26                    ,
T07A0052-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-4,2027/03/05                    ,
T07A0093-0,BT0071,樂天小熊餅－宇治抹茶風味33g,0,2160,,,6/23-4,2027/08/14                    ,
T07A0114-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-4,2026/12/01                    ,
T07A0153-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-4,2026/12/01                    ,
T07A0154-0,SW9266,贈品-LOTTE PEPERO FRIENDS造型梅森杯,0,338,,,6/23-4,2030/08/31                    ,
T07A0172-0,SW9212,贈品-樂天小熊餅造型木盤,0,1181,,,6/23-4,2034/08/06                    ,
T07A0212-0,SW9278-2,贈品-樂天小熊茄芷風格網袋(紅)(紅色膠帶),0,1629,,,6/23-4,2036/12/31                    ,
T07A0272-0,SW9278-1,贈品-樂天小熊茄芷風格網袋(綠)(透明膠帶),0,395,,,6/23-4,2036/05/25                    ,
T07A0514-0,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),0,480,,,6/23-4,2027/01/10                    ,
T07B0043-0,GW0180,樂天小熊餅好運袋,0,336,,,6/23-4,2027/01/23                    ,
T07B0144-0,GW0180,樂天小熊餅好運袋,0,336,,,6/23-4,2027/01/23                    ,
T07B0162-0,SW9278-2,贈品-樂天小熊茄芷風格網袋(紅)(紅色膠帶),0,718,,,6/23-4,2026/12/31                    ,
T07B0182-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-4,2027/03/05                    ,
T07B0184-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-4,2027/01/14                    ,
T07B0242-0,BT0071,樂天小熊餅－宇治抹茶風味33g,0,2160,,,6/23-4,2027/08/14                    ,
T07B0263-0,GW0180,樂天小熊餅好運袋,0,336,,,6/23-4,2027/01/23                    ,
T07B0302-0,SW9278-2,贈品-樂天小熊茄芷風格網袋(紅)(紅色膠帶),0,395,,,6/23-4,2036/05/25                    ,
T07B0305-0,SW9277-1,贈品-樂天小熊手提收納籃(白),0,9,,,6/23-4,2036/01/30                    ,
T07B0425-0,SW9279,贈品-樂天小熊娃包,0,295,,,6/23-4,2036/03/20                    ,
T07B0445-0,SW9277-2,贈品-樂天小熊手提收納籃(軍綠),0,9,,,6/23-4,2036/01/30                    ,
T08A0473-0,SW9266,贈品-LOTTE PEPERO FRIENDS造型梅森杯,0,518,,,6/23-4,2030/08/31                    ,
T08A0493-0,SW9278-1,贈品-樂天小熊茄芷風格網袋(綠)(透明膠帶),0,266,,,6/23-4,2031/02/01                    ,
T08A0534-0,SW9259,贈品-LOTTE掛勾摺疊購物袋,0,150,,,6/23-4,2035/04/11                    ,
T08A0535-0,SW9260,贈品-小熊圓筒包(粉紅,0,203,,,6/23-4,2035/08/18                    ,
T08A0554-0,SW9257-1,贈品-樂天小熊證件套(透明膠帶),0,3317,,,6/23-4,2030/01/31                    ,
T08A0575-0,SW9208,贈品-LOTTE PEPERO FRIENDS 萬用提袋,0,1526,,,6/23-4,2033/05/02                    ,
T08B0181-0,SW9243,贈品-樂天小熊和風玻璃杯,0,88,,,6/23-4,2034/11/26                    ,
T08B0486-0,SW9266,贈品-LOTTE PEPERO FRIENDS造型梅森杯,0,896,,,6/23-4,2030/08/31                    ,
T08B0603-0,SW9279-1,贈品-樂天小熊娃包(每箱30個),0,570,,,6/23-4,2031/01/31                    ,
T11A0153-0,GW0180,樂天小熊餅好運袋,0,336,,,6/23-4,2027/01/23                    ,
T11B0063-0,GW0180,樂天小熊餅好運袋,0,336,,,6/23-4,2027/01/23                    ,
T12B0041-0,SW9242-2,贈品-樂天小熊簇絨墊(黃),0,177,,,6/23-4,2034/04/17                    ,
T12B0121-0,SW9242-1,贈品-樂天小熊簇絨墊(藍),0,418,,,6/23-4,2034/04/17                    ,
T12B0141-0,SW9234,贈品-樂天小熊公仔存錢筒,0,61,,,6/23-4,2034/11/02                    ,
T12B0145-0,SW9252-1,贈品-樂天小熊午睡餅乾枕-跑車(黃膠帶),0,30,,,6/23-4,2034/12/06                    ,
T12B0183-0,SW9252-2,贈品-樂天小熊午睡餅乾枕-打鼓(透明膠帶),0,30,,,6/23-4,2034/12/06                    ,
T12B0341-0,SW9256,贈品-樂天小熊摺疊露營推車,0,6,,,6/23-4,2035/02/07                    ,
T12B0343-0,SW9184,贈品-樂天小熊12入蠟筆組,0,2081,,,6/23-4,2032/05/05                    ,
T12B0504-0,SW9212,贈品-樂天小熊餅造型木盤,0,1800,,,6/23-4,2034/08/07                    ,
T12B0585-0,SW9234,贈品-樂天小熊公仔存錢筒,0,540,,,6/23-4,2034/11/02                    ,
T12B0605-0,SW9234,贈品-樂天小熊公仔存錢筒,0,540,,,6/23-4,2034/11/02                    ,
Z01A0011-0,BT0071,樂天小熊餅－宇治抹茶風味33g,0,4320,,,6/23-4,2027/08/15                    ,
C05A0012-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,333,,,6/23空調-1,2026/11/26                    ,
C05A0275-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05A0635-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05A0655-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05B0024-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05B0245-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05B0283-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05B0301-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05B0303-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05B0304-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05B0323-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05B0561-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/25                    ,
C05B0564-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/25                    ,
C05B0565-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/25                    ,
C05B0585-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/25                    ,
C05B0604-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05B0605-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/25                    ,
C05B0644-0,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,0,648,,,6/23空調-1,2026/11/26                    ,
C05A0115-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0134-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0135-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0155-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0195-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0653-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0654-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0674-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0692-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0694-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0752-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05A0772-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05B0022-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,288,,,6/23空調-2,2026/12/17                    ,
C05B0062-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05B0082-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/17                    ,
C05B0122-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/17                    ,
C05B0143-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,648,,,6/23空調-2,2026/12/09                    ,
C05B0361-0,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,0,549,,,6/23空調-2,2026/12/17                    ,
