orderId,sourceId,sku,name,qtyBox,qtyPcs,destLoc,trip,plant,expDate,ean
lotte20260626-3007,,BJ9400,LOTTE 千層派分享包—巧克力風味,18,324,,6/26-3,A37,2026/10/31,24903333284447
lotte20260626-3008,,BJ9455,LOTTE巧克力派－北海道生焦糖乳酪蛋糕風味,26,650,,6/26-3,A37,2026/08/31,14903333247384
lotte20260626-3009,,BJ9460,LOTTE巧克力派－焦糖奶油風味(單顆),2,449,,6/26-3,A37,2026/08/23,14903333219152
lotte20260626-3010,,BJ9462,LOTTE The奶油派,0,48,,6/26-3,A37,2026/08/31,14903333299598
lotte20260626-3011,,BJ9463,LOTTE The焦糖派,1,50,,6/26-3,A37,2026/08/31,14903333215734
lotte20260626-3012,,BK0045,LOTTE 蛋黃派(6顆裝),70,840,,6/26-3,A37,2026/10/01,18801062126221
lotte20260626-3013,,BK0045,LOTTE 蛋黃派(6顆裝),70,840,,6/26-3,A37,2026/10/01,18801062126221
lotte20260626-3014,,BK0049,LOTTE 蛋黃派－香甜草莓風味(6顆裝),8,96,,6/26-3,A37,2026/10/12,18801062899613
lotte20260626-3015,,BK0049,LOTTE 蛋黃派－香甜草莓風味(6顆裝),41,495,,6/26-3,A37,2026/10/12,18801062899613
lotte20260626-3016,,BK0049,LOTTE 蛋黃派－香甜草莓風味(6顆裝),70,840,,6/26-3,A37,2026/10/12,18801062899613
lotte20260626-3017,,BK9321,LOTTE ZERO零砂糖可可豆餅乾,6,120,,6/26-3,A37,2026/09/10,18801062865687
lotte20260626-3018,,BK9332,LOTTE ZERO 零砂糖可可&香草夾心餅乾96g,1,30,,6/26-3,A37,2026/11/03,18801062859105
lotte20260626-3019,,BK9332,LOTTE ZERO 零砂糖可可&香草夾心餅乾96g,32,960,,6/26-3,A37,2026/11/03,18801062859105
lotte20260626-3020,,BT0047,樂天小熊餅-巧克力風味37g,4,192,,6/26-3,A40,2026/12/01,58852008300203
lotte20260626-3021,,BT0047,樂天小熊餅-巧克力風味37g,4,192,,6/26-3,A40,2026/09/19,58852008300203
lotte20260626-3022,,BT0047,樂天小熊餅-巧克力風味37g,7,336,,6/26-3,A40,2026/12/19,58852008300203
lotte20260626-3023,,BT0047,樂天小熊餅-巧克力風味37g,8,384,,6/26-3,A40,2026/12/18,58852008300203
lotte20260626-3024,,BT0047,樂天小熊餅-巧克力風味37g,16,768,,6/26-3,A40,2026/12/18,58852008300203
lotte20260626-3025,,BT0048,樂天小熊餅-草莓風味37g,4,192,,6/26-3,A40,2026/11/22,58852008300234
lotte20260626-3026,,BT0048,樂天小熊餅-草莓風味37g,6,288,,6/26-3,A40,2026/12/17,58852008300234
lotte20260626-3027,,BT0048,樂天小熊餅-草莓風味37g,8,384,,6/26-3,A40,2026/12/11,58852008300234
lotte20260626-3028,,BT0048,樂天小熊餅-草莓風味37g,14,672,,6/26-3,A40,2026/09/19,58852008300234
lotte20260626-3029,,BT0048,樂天小熊餅-草莓風味37g,21,1008,,6/26-3,A40,2026/12/17,58852008300234
lotte20260626-3030,,BT0053,樂天小熊餅-濃黑巧克力風味37g,8,384,,6/26-3,A40,2026/12/16,58852008304867
lotte20260626-3031,,BT0053,樂天小熊餅-濃黑巧克力風味37g,9,432,,6/26-3,A40,2026/11/25,58852008304867
lotte20260626-3032,,BT0053,樂天小熊餅-濃黑巧克力風味37g,10,480,,6/26-3,A40,2026/09/23,58852008304867
lotte20260626-3033,,BT0053,樂天小熊餅-濃黑巧克力風味37g,17,816,,6/26-3,A40,2027/01/27,58852008304867
lotte20260626-3034,,BT0053,樂天小熊餅-濃黑巧克力風味37g,23,1104,,6/26-3,A40,2027/01/27,58852008304867
lotte20260626-3035,,BT0063,樂天小熊餅－濃黑巧克力風味37g,0,21,,6/26-3,A40,2027/06/10,58852008304867
lotte20260626-3036,,BT9055,樂天小熊餅萬聖節限定版-巧克力風味37g,10,480,,6/26-3,A40,2026/11/04,58852008303945
lotte20260626-3037,,BT9083,樂天小熊餅聖誕節限定版－巧克力風味37g,1,95,,6/26-3,A37,2026/12/10,58852008305390
lotte20260626-3038,,BT9083,樂天小熊餅聖誕節限定版－巧克力風味37g,2,96,,6/26-3,A40,2026/12/10,58852008305390
lotte20260626-3039,,BT9083,樂天小熊餅聖誕節限定版－巧克力風味37g,3,144,,6/26-3,A40,2026/12/10,58852008305390
lotte20260626-3040,,BT9083,樂天小熊餅聖誕節限定版－巧克力風味37g,4,192,,6/26-3,A40,2026/12/10,58852008305390
lotte20260626-3041,,BT9083,樂天小熊餅聖誕節限定版－巧克力風味37g,4,192,,6/26-3,A40,2026/12/10,58852008305390
lotte20260626-3042,,BT9083,樂天小熊餅聖誕節限定版－巧克力風味37g,5,240,,6/26-3,A40,2026/12/10,58852008305390
lotte20260626-3043,,BT9083,樂天小熊餅聖誕節限定版－巧克力風味37g,8,384,,6/26-3,A37,2026/12/10,58852008305390
lotte20260626-3044,,BT9083,樂天小熊餅聖誕節限定版－巧克力風味37g,33,1584,,6/26-3,A37,2026/12/10,58852008305390
lotte20260626-3045,,DK9013,LOTTE 檸檬糖65g(罐裝),1,24,,6/26-3,A37,2026/12/17,38801062221197
lotte20260626-3046,,DK9013,LOTTE 檸檬糖65g(罐裝),25,616,,6/26-3,A37,2026/12/17,38801062221197
lotte20260626-3047,,DK9081,LOTTE Anytime三層糖—梅子&蜜桃薄荷風味60g,44,880,,6/26-3,A37,2026/07/16,38801062335610
lotte20260626-3048,,FW0096,樂天小熊餅經典六角禮盒,3,18,,6/26-3,A40,2026/10/31,04712834457399
lotte20260626-3049,,GW0131,樂天小熊餅美味分享組,0,8,,6/26-3,A40,2026/12/01,04712834456828
lotte20260626-3050,,GW0180,樂天小熊餅好運袋,21,252,,6/26-3,A37,2027/01/23,04712834457429
lotte20260626-3051,,SW9279,贈品-樂天小熊娃包,8,660,,6/26-3,A40,2031/01/31,4712834459454
lotte20260626-3052,,XBK0045-2,外箱-LOTTE 蛋黃派(6顆裝),10,210,,6/26-3,A37,2034/11/06,
lotte20260626-3053,,XBK0046-2,外箱-LOTTE 蛋黃派(10顆裝),6,120,,6/26-3,A37,2034/11/15,
lotte20260626-3054,,XBT0044-2,外箱-樂天小熊餅-巧克力風味分享包,18,270,,6/26-3,A37,2035/08/29,
lotte20260626-3055,,XBT0044-2,外箱-樂天小熊餅-巧克力風味分享包,21,325,,6/26-3,A37,2035/08/29,
