# Generated: 2026-06-19 13:10:22
# Total rows: 187
# Data source: ALLY_LOTTE_QR_PRINTER_v8.3.html embedded PALLET_DATA
# Issues found:
# - Row 177 (Board 177): SKU 'DK9075' missing from ITEM_MASTER - requires user verification
# Note: destLocation may be "TBD" pending binding table from user

sourceId,sku,品名,箱數,件數,國際條碼,上架儲位,來源儲位,效期,趟次,棧板號,入庫單號
LOTTE-20260622-622_3-098,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0733-0,2027/04/14,Regular-1,128,20260622-128
LOTTE-20260622-622_3-099,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0735-0,2027/04/14,Regular-1,129,20260622-129
LOTTE-20260622-622_3-100,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0752-0,2027/04/14,Regular-1,130,20260622-130
LOTTE-20260622-622_3-101,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0772-0,2027/04/14,Regular-1,131,20260622-131
LOTTE-20260622-622_3-102,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0773-0,2027/04/14,Regular-1,132,20260622-132
LOTTE-20260622-622_3-103,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0774-0,2027/04/14,Regular-1,133,20260622-133
LOTTE-20260622-622_3-105,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0875-0,2027/04/14,Regular-1,134,20260622-134
LOTTE-20260622-622_3-107,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03B0382-0,2027/04/14,Regular-1,135,20260622-135
LOTTE-20260622-622_3-111,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03B0422-0,2027/04/14,Regular-1,136,20260622-136
LOTTE-20260622-622_3-113,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03B0542-0,2027/04/14,Regular-1,137,20260622-137
LOTTE-20260622-622_3-116,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03B0602-0,2027/04/14,Regular-1,138,20260622-138
LOTTE-20260622-622_3-119,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),20,320,08935341300736,BI012,C11B0184-0,2027/04/22,Regular-1,139,20260622-139
